cal_run,KGE,input_data,year_missing
station_all,0.82898028,station,none
station_2011,0.81878853,station,2011
station_2012,0.823477311,station,2012
station_2013,0.904475743,station,2013
station_2014,0.817585149,station,2014
station_2015,0.784048518,station,2015
station_2016,0.811267863,station,2016
station_2017,0.838329052,station,2017
station_2018,0.812515945,station,2018
station_2019,0.810085533,station,2019
station_2020,0.807957987,station,2020
grid_all,0.880143835,grid,none
grid_2011,0.890481892,grid,2011
grid_2012,0.883333179,grid,2012
grid_2013,0.911914758,grid,2013
grid_2014,0.896928959,grid,2014
grid_2015,0.901270629,grid,2015
grid_2016,0.849873897,grid,2016
grid_2017,0.862371557,grid,2017
grid_2018,0.849296897,grid,2018
grid_2019,0.877657521,grid,2019
grid_2020,0.876011487,grid,2020
