date,year,source,q_m3s,month,doy
2011-03-01,2011,grid_all,0.0067,3,60
2011-03-01,2011,grid_ensemble,0.028057,3,60
2011-03-03,2011,bouldcr,0.7645548692741149,3,62
2011-03-14,2011,statn_ensemble,0.354817,3,73
2011-03-15,2011,all_ensemble,0.19226136363636365,3,74
2011-03-17,2011,statn_all,0.62487,3,76
2012-03-01,2012,grid_all,0.01713,3,61
2012-03-15,2012,grid_ensemble,0.08448699999999999,3,75
2012-03-24,2012,statn_all,0.01178,3,84
2012-03-25,2012,all_ensemble,0.21756772727272727,3,85
2012-03-25,2012,bouldcr,0.6626142200375662,3,85
2012-03-25,2012,statn_ensemble,0.420819,3,85
2013-03-16,2013,grid_ensemble,0.186248,3,75
2013-03-22,2013,grid_all,0.0499,3,81
2013-03-27,2013,bouldcr,0.25258627533055944,3,86
2013-03-27,2013,statn_all,0.08522,3,86
2013-03-30,2013,all_ensemble,0.20475954545454544,3,89
2013-03-30,2013,statn_ensemble,0.320838,3,89
2014-03-08,2014,bouldcr,2.7184173129746307,3,67
2014-03-09,2014,all_ensemble,0.7782586363636363,3,68
2014-03-09,2014,grid_all,0.2728,3,68
2014-03-09,2014,statn_all,1.36881,3,68
2014-03-09,2014,statn_ensemble,1.265638,3,68
2014-03-11,2014,grid_ensemble,0.29354600000000003,3,70
2015-03-09,2015,grid_all,0.95554,3,68
2015-03-13,2015,grid_ensemble,0.609583,3,72
2015-03-15,2015,all_ensemble,0.8311486363636363,3,74
2015-03-15,2015,statn_all,0.89134,3,74
2015-03-16,2015,statn_ensemble,1.082582,3,75
2015-03-17,2015,bouldcr,2.0529714082360493,3,76
2016-03-23,2016,bouldcr,2.7693876375929047,3,83
2016-03-24,2016,grid_all,1.95496,3,84
2016-03-24,2016,grid_ensemble,1.162405,3,84
2016-03-25,2016,all_ensemble,0.8947827272727272,3,85
2016-03-30,2016,statn_all,0.81916,3,90
2016-03-30,2016,statn_ensemble,0.9530609999999999,3,90
2017-03-29,2017,bouldcr,0.8410103562015263,3,88
2017-03-31,2017,all_ensemble,0.5417540909090909,3,90
2017-03-31,2017,grid_all,0.368,3,90
2017-03-31,2017,grid_ensemble,0.518407,3,90
2017-03-31,2017,statn_all,0.5224,3,90
2017-03-31,2017,statn_ensemble,0.584412,3,90
2018-03-27,2018,bouldcr,2.191723958585796,3,86
2018-03-30,2018,statn_ensemble,0.43372,3,89
2018-03-31,2018,all_ensemble,0.29257727272727274,3,90
2018-03-31,2018,grid_all,0.07276,3,90
2018-03-31,2018,grid_ensemble,0.204813,3,90
2018-03-31,2018,statn_all,0.17864,3,90
2019-03-13,2019,bouldcr,2.8600015480253926,3,72
2019-03-25,2019,grid_all,0.41325,3,84
2019-03-27,2019,all_ensemble,0.47272909090909093,3,86
2019-03-27,2019,statn_ensemble,0.6154080000000001,3,86
2019-03-29,2019,grid_ensemble,0.403722,3,88
2019-03-31,2019,statn_all,0.03536,3,90
2020-03-19,2020,bouldcr,2.285169553719299,3,79
2020-03-26,2020,all_ensemble,0.7886945454545454,3,86
2020-03-26,2020,statn_all,0.79483,3,86
2020-03-26,2020,statn_ensemble,1.024768,3,86
2020-03-27,2020,grid_all,0.60133,3,87
2020-03-27,2020,grid_ensemble,0.626125,3,87
